TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,TAG_NAME,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
abncodes,itemId,No,,,,,
abncodes,ABN,No,,,,,
abncodes,CPTCode,No,,,,,
abncodes,CPTItemId,No,,,,,
additionalnotes,Id,No,,,,,
additionalnotes,patientId,Yes,PATIENT_ID,,,,
additionalnotes,LoggedInUid,No,,,,,
additionalnotes,date,Yes,DATE_OFFSET,,,,
additionalnotes,time,No,,,,,
additionalnotes,Message,Yes,NOTES,,,,
additionalnotes,deleteFlag,No,,,,,
additionalnotes,moduleName,No,,,,,
additionalnotes,createdOn,Yes,DATE_OFFSET,,,,
additionalnotes,createdBy,No,,,,,
additionalnotes,subjectData,Yes,NOTES,,,,
additionalnotes,subject,No,,,,,
addressmanager,id,No,,,,,
addressmanager,patientId,Yes,PATIENT_ID,,,,
addressmanager,AddressStatus,No,,,,,
addressmanager,Address_type_id,No,,,,,
addressmanager,addressline1,Yes,MASK,PO_BOX_STREET,PO_BOX_STREET,,
addressmanager,addressline2,Yes,MASK,PO_BOX_STREET,PO_BOX_STREET,,
addressmanager,Effectivedatefrom,Yes,DATE_OFFSET,,,,
addressmanager,Effectivedateto,Yes,DATE_OFFSET,,,,
addressmanager,city,Yes,MASK,CITY,CITY,,
addressmanager,County,No,,,,,
addressmanager,state,No,,,,,
addressmanager,zip,Yes,ZIP_CODE,,,,
addressmanager,Country,No,,,,,
addressmanager,countycode,No,,,,,
addressmanager,deleteflag,No,,,,,
alertdata,Id,No,,,,,
alertdata,patientid,Yes,PATIENT_ID,,,,
alertdata,measureid,No,,,,,
alertdata,measurename,No,,,,,
alertdata,itemid,No,,,,,
alertdata,frequency,No,,,,,
alertdata,lastdone,Yes,DATE_OFFSET,,,,
alertdata,duedate,Yes,DATE_OFFSET,,,,
alertdata,value,No,,,,,
alertdata,controlstatus,No,,,,,
alertdata,registryalert,No,,,,,
alertdata,labreceived,No,,,,,
alertdata,mdate,Yes,DATE_OFFSET,,,,
alertdata,isexternalalert,No,,,,,
alertdata,ismergedtocdssalert,No,,,,,
alertdata,alert_unit_id,No,,,,,
alertdata,alert_unit_name,No,,,,,
allergies,patientID,Yes,PATIENT_ID,,,,
allergies,drug,No,,,,,
allergies,allergy,No,,,,,
allergies,encounterId,Yes,ENCOUNTER_ID,,,,
allergies,itemID,No,,,,,
allergies,displayIndex,No,,,,,
allergies,SMDamConceptID,No,,,,,
allergies,SMDamConceptIDDesc,No,,,,,
allergies,ndc_code,No,,,,,
allergies,allergytype,No,,,,,
allergies,type,No,,,,,
allergies,status,No,,,,,
allergies,criticality,No,,,,,
allergies,onsetdate,Yes,DATE_OFFSET,,,,
allergiesnotfoundlist,id,No,,,,,
allergiesnotfoundlist,encounterId,Yes,ENCOUNTER_ID,,,,
allergiesnotfoundlist,trUserId,No,,,,,
allergiesnotfoundlist,AllergyName,No,,,,,
allergiesnotfoundlist,reaction,No,,,,,
allergiesnotfoundlist,MappedAllergyName,No,,,,,
allergiesnotfoundlist,mTimeStamp,Yes,DATE_OFFSET,,,,
allergiesnotfoundlist,hasMatched,No,,,,,
allergiesnotfoundlist,delflag,No,,,,,
allergiesnotfoundlist,CCRDataObjectID,No,,,,,
allergiesnotfoundlist,refReqId,No,,,,,
allergiesnotfoundlist,allergyType,No,,,,,
allergiesnotfoundlist,mappedAllergyItemId,No,,,,,
allergy_general_setting,ID,No,,,,,
allergy_general_setting,NAME,No,,,,,
allergy_general_setting,VALUE,No,,,,,
allergy_general_setting,DISPLAYNAME,No,,,,,
allergy_general_setting,DELETEFLAG,No,,,,,
allergy_general_setting,CONTROLTYPE,No,,,,,
allergy_general_setting,VALUE2,No,,,,,
anesthesiamapping,Id,No,,,,,
anesthesiamapping,CPTCode,No,,,,,
anesthesiamapping,AnesthesiaCode,No,,,,,
anesthesiamapping,delFlag,No,,,,,
annualnotes,encounterId,Yes,ENCOUNTER_ID,,,,
annualnotes,notes,Yes,NOTES,,,,
annualnotes,type,No,,,,,
annualnotes,notesHTML,Yes,NOTES,,,,
asc_pnsectionmaster,MasterSectionId,No,,,,,
asc_pnsectionmaster,MasterSectionName,No,,,,,
asc_pnsectionmaster,Path,Yes,MASK,CUSTOM_STR,PATH,,
asc_pnsectionmaster,deleteflag,No,,,,,
asc_pnsectionmaster,jsfiles,Yes,MASK,CUSTOM_STR,JSFILES,,
asc_pnsectionmaster,appName,No,,,,,
asc_vitals_images_master,id,No,,,,,
asc_vitals_images_master,imageName,No,,,,,
asc_vitals_images_master,imagePath,No,,,,,
asc_vitals_images_master,vitalTypeId,No,,,,,
asc_vitals_images_master,displayIndex,No,,,,,
asc_vitals_images_master,defaultAbbreviation,No,,,,,
asc_vitals_images_master,modifiedBy,No,,,,,
asc_vitals_images_master,modifiedDatetime,Yes,STATIC_OFFSET,,,,
asc_vitals_images_master,deleteFlag,No,,,,,
assessment_lab_history,Id,No,,,,,
assessment_lab_history,AsmtId,No,,,,,
assessment_lab_history,LabId,No,,,,,
assessment_lab_history,LabItemId,No,,,,,
assessment_lab_history,LabType,No,,,,,
assessment_lab_history,encounterId,Yes,ENCOUNTER_ID,,,,
assessment_lab_history,encDate,Yes,DATE_OFFSET,,,,
assessment_lab_history,patientId,Yes,PATIENT_ID,,,,
assessment_lab_history,doctorId,No,,,,,
assessment_lab_history,facilityId,No,,,,,
assessment_lab_history,visitType,No,,,,,
assessment_lab_history,LastHistoryDate,Yes,DATE_OFFSET,,,,
assessment_lab_history,FavouriteHistoryItem,No,,,,,
assessment_lab_history,delFlag,No,,,,,
assessment_lab_history,icdCode,No,,,,,
assessment_lab_history,icdGroup,No,,,,,
assessment_notes_history,Id,No,,,,,
assessment_notes_history,AsmtId,No,,,,,
