TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
Claim,ClaimID,No,,,,
Claim,PatientID,Yes,PATIENT_ID,,,
Claim,InsurancePlanID,No,,,,
Claim,InsID,Yes,MASK,InsID,,
Claim,CareProviderID,No,,,,
Claim,FacilityLocationID,No,,,,
Claim,ReferringPhysicanID,No,,,,
Claim,DateFiledInAR,Yes,DATE_OFFSET,,,
Claim,PreCertificationNum,Yes,MASK,PreCertificationNum,,
Claim,NumberOfServiceDetails,No,,,,
Claim,InitialServiceDate,Yes,DATE_OFFSET,,,
Claim,LastActiveDate,Yes,DATE_OFFSET,,,
Claim,ActiveClaim,No,,,,
Claim,CreationDate,Yes,DATE_OFFSET,,,
Claim,SuspendSubmission,No,,,,
Claim,OriginalSubmissionDate,Yes,DATE_OFFSET,,,
Claim,ClaimStatusID,No,,,,
Claim,ClaimStatusDate,Yes,DATE_OFFSET,,,
Claim,EmploymentRelatedCondition,No,,,,
Claim,AutoAccident,No,,,,
Claim,AutoAccidentState,No,,,,
Claim,AccidentResponsibility,No,,,,
Claim,OtherAccident,No,,,,
Claim,AbuseFlag,No,,,,
Claim,ClaimNotes,Yes,NOTES,,,
Claim,OtherInsCovID,Yes,MASK,OtherInsCovID,,
Claim,SignatureOnFileFlag,No,,,,
Claim,SymptomDate,Yes,DATE_OFFSET,,,
Claim,SimilarDate,Yes,DATE_OFFSET,,,
Claim,DisabilityType,No,,,,
Claim,DisabilityFromDate,Yes,DATE_OFFSET,,,
Claim,DisabilityToDate,Yes,DATE_OFFSET,,,
Claim,HospAdmitDate,Yes,DATE_OFFSET,,,
Claim,HospDischDate,Yes,DATE_OFFSET,,,
Claim,LabIndicatorFlag,No,,,,
Claim,LabCharges,Yes,MASK,LabCharges,,
Claim,MedicaidResubCode,No,,,,
Claim,ResubRefNo,No,,,,
Claim,ProvAssignInd,No,,,,
Claim,ProvSigInd,No,,,,
Claim,ProvSigDate,Yes,DATE_OFFSET,,,
Claim,MedigapClaim,No,,,,
Claim,TotalClaimChrgs,Yes,MASK,TotalClaimChrgs,,
Claim,ClaimBalance,Yes,MASK,ClaimBalance,,
Claim,PatientOriginalAmountDue,Yes,MASK,PatientOriginalAmountDue,,
Claim,PatientAdjustedAmountDue,Yes,MASK,PatientAdjustedAmountDue,,
Claim,AmountPaidByPatient,Yes,MASK,AmountPaidByPatient,,
Claim,PatientLastPaymentDate,Yes,DATE_OFFSET,,,
Claim,PatientBalance,Yes,MASK,PatientBalance,,
Claim,PatientOriginalBillingDate,Yes,DATE_OFFSET,,,
Claim,InsuranceOriginalAmountDue,Yes,MASK,InsuranceOriginalAmountDue,,
Claim,InsuranceAdjustedAmountDue,Yes,MASK,InsuranceAdjustedAmountDue,,
Claim,AmountPaidByInsurance,Yes,MASK,AmountPaidByInsurance,,
Claim,InsuranceLastPaymentDate,Yes,DATE_OFFSET,,,
Claim,InsuranceBalance,Yes,MASK,InsuranceBalance,,
Claim,ContWriteOffAmount,Yes,MASK,ContWriteOffAmount,,
Claim,PatientCoPayAmount,Yes,MASK,PatientCoPayAmount,,
Claim,PatientAmountNotCovered,Yes,MASK,PatientAmountNotCovered,,
Claim,PatientDeductibleAmount,Yes,MASK,PatientDeductibleAmount,,
Claim,PatientCoInsuranceAmount,Yes,MASK,PatientCoInsuranceAmount,,
Claim,Reserved10d,No,,,,
Claim,Reserved19,No,,,,
Claim,CollectionFlag,No,,,,
Claim,CollectionUserID,No,,,,
Claim,CollectionAgencyID,No,,,,
Claim,RevisionNumber,No,,,,
Claim,RevisionUserID,No,,,,
Claim,RevisionDateTime,Yes,DATE_OFFSET,,,
Claim,AmendedClaim,No,,,,
Claim,AdjustmentAmount,Yes,MASK,AdjustmentAmount,,
Claim,LastAdjustmentDate,Yes,DATE_OFFSET,,,
Claim,ContWriteOffDate,Yes,DATE_OFFSET,,,
Claim,ContWriteOffExpected,Yes,MASK,ContWriteOffExpected,,
Claim,RenderingProviderID,No,,,,
Claim,SubOrder,No,,,,
Claim,Priority,No,,,,
Claim,State,No,,,,
Claim,VisitID,Yes,ENCOUNTER_ID,,,
Claim,IncludePaidInFull,No,,,,
Claim,DelayReasonCode,No,,,,
Claim,ReprocessFlag,No,,,,
Claim,ClaimFollowUpReasonID,No,,,,
Claim,ClaimFollowUpDate,Yes,DATE_OFFSET,,,
Claim,ClaimFrequencyCode,No,,,,
Claim,ClaimCombinationId,No,,,,
