TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
__OrdersTrackingActions_DELETED,TaskKey,,,,,
__OrdersTrackingActions_DELETED,OrderID,,,,,
__OrdersTrackingActions_DELETED,FUTaskID,,,,,
_oldOrdersTracking,OrderID,,,,,
_oldOrdersTracking,PatientID,,,,,
_oldOrdersTracking,IssuingDocumentID,,,,,
_oldOrdersTracking,ProcedureMasterID,,,,,
_oldOrdersTracking,ProcedureCode,,,,,
_oldOrdersTracking,Unit,,,,,
_oldOrdersTracking,Description,,,,,
_oldOrdersTracking,Disabled,,,,,
_oldOrdersTracking,DateOrdered,,,,,
_oldOrdersTracking,StatusID,,,,,
_oldOrdersTracking,FUStatusID,,,,,
_oldOrdersTracking,FUNotes,,,,,
_oldOrdersTracking,ResultGeneralFindingID,,,,,
_oldOrdersTracking,ReviewedBy,,,,,
_oldOrdersTracking,enteredby,,,,,
_oldOrdersTracking,ResultNotes,,,,,
_oldOrdersTracking,PerformedDate,,,,,
_oldOrdersTracking,ResultsReceived,,,,,
_oldOrdersTracking,PerformedByID,,,,,
_oldOrdersTracking,ReasonForCancelID,,,,,
_oldOrdersTracking,ResultsDocumentID,,,,,
_oldOrdersTracking,CancelNotes,,,,,
_tmpMap_Unicor_IMO_2010,MedRegion_Unicor,,,,,
_tmpMap_Unicor_IMO_2010,GMTMedRegID,,,,,
ABNDocument,ABNDocumentID,,,,,
ABNDocument,ABNDocumentStatusID,,,,,
ABNDocument,ABNPatientResponseID,,,,,
ABNDocument,ClinicalDocumentID,,,,,
ABNDocumentStatus,ABNDocumentStatusID,,,,,
ABNDocumentStatus,StatusDescription,,,,,
ABNOrderStatus,ABNOrderStatusID,,,,,
ABNOrderStatus,StatusDescription,,,,,
ABNPatientResponse,ABNPatientResponseID,,,,,
ABNPatientResponse,ResponseDescription,,,,,
ABNRequiredReason,ABNRequiredReasonID,,,,,
ABNRequiredReason,ReasonDescription,,,,,
ABNRequiredReason,ReasonText,,,,,
ABNStatus,ABNStatusID,,,,,
ABNStatus,StatusDescription,,,,,
AccidentType,AccidentTypeID,,,,,
AccidentType,LocalName,,,,,
AccidentType,StandardName,,,,,
AccidentType,Description,,,,,
AccidentType,IsDefaultField,,,,,
AccidentType,Enabled,,,,,
ActCodingSystem,CodingSystemId,,,,,
ActCodingSystem,Code,,,,,
ActCodingSystem,CodeDisplayName,,,,,
ActionGroupLU,GroupID,,,,,
ActionGroupLU,GroupName,,,,,
ActionGroupLU,Description,,,,,
ActionGroupLU,SortOrder,,,,,
ActionGroupLU,ModuleListID,,,,,
ActionGroupLU,ParentID,,,,,
ActionReaction,ActionID,,,,,
ActionReaction,DependentID,,,,,
ActionReaction,Enable,,,,,
ActionReaction,Disable,,,,,
ActionsLU,ActionID,,,,,
ActionsLU,ActionName,,,,,
ActionsLU,Description,,,,,
ActionsLU,SortOrder,,,,,
ActionsLU,GroupID,,,,,
ActionsLU,ActionTypeID,,,,,
ActionsLU,Hidden,,,,,
ActionType,ActionTypeID,,,,,
ActionType,Description,,,,,
ActionType,GroupID,,,,,
ActionType,SortOrder,,,,,
ActiveConnections,Session,,,,,
ActiveConnections,UserID,,,,,
ActiveConnections,TimeOn,,,,,
ActivityTxnEvntMgrLog,LogID,,,,,
ActivityTxnEvntMgrLog,AggregateStatus,,,,,
ActivityTxnEvntMgrLog,PrescriptionStatus,,,,,
ActivityTxnEvntMgrLog,TransmissionDate,,,,,
AdamImage,AdamImageID,,,,,
AdamImage,AdamImageName,,,,,
AdamImage,AdamImageFileName,,,,,
AdamImage,AdamImageXML,,,,,
AdamImage,Enabled,,,,,
Address,AddressID,No,,,,
Address,AddressLine1,Yes,MASK,PO_BOX_STREET,,
Address,AddressLine2,Yes,MASK,PO_BOX_STREET,,
Address,City,Yes,MASK,CITY,,
Address,County,Yes,MASK,Address,,
Address,State,No,,,,
Address,Country,No,,,,
Address,PostalCode,Yes,ZIP_CODE,,,
Address,PhoneNum1,Yes,MASK,PHONE_NUMBER,,
Address,PhoneNum2,Yes,MASK,PHONE_NUMBER,,
Address,FaxNumber,Yes,MASK,FAX,,
AddressHistory,UserID,,,,,
AddressHistory,EffectiveStartDate,,,,,
AddressHistory,EffectiveEndDate,,,,,
AddressHistory,AddressID,,,,,
AddressHistory,AddressLine1,,,,,
AddressHistory,AddressLine2,,,,,
AddressHistory,City,,,,,
AddressHistory,County,,,,,
AddressHistory,State,,,,,
AddressHistory,Country,,,,,
AddressHistory,PostalCode,,,,,
AddressHistory,PhoneNum1,,,,,
AddressHistory,PhoneNum2,,,,,
AddressHistory,FaxNumber,,,,,
AddressHistory,FromDate,,,,,
AddressHistory,ToDate,,,,,
AddressHistory,Status,,,,,
AddressHistory,AddressHistID,,,,,
AdjustmentSubType,AdjustmentSubTypeID,,,,,
AdjustmentSubType,AdjustmentSubTypeDesc,,,,,
AdjustmentSubType,AdjustmentTypeID,,,,,
AdjustmentSubType,Active,,,,,
AdjustmentType,AdjustmentTypeID,,,,,
AdjustmentType,AdjustmentTypeDesc,,,,,
AdjustmentType,AdjustmentAnalysisINSString,,,,,
AgingPeriod,AgingPeriodID,,,,,
AgingPeriod,AgingPeriodSortOrder,,,,,
AgingPeriod,BeginningRangeDays,,,,,
AgingPeriod,EndingRangeDays,,,,,
AgingPeriod,AgingPeriodDesc,,,,,
AlcoholAmountUsed,AlcoholAmountUsedID,,,,,
AlcoholAmountUsed,AmountDesc,,,,,
AlertType,AlertTypeID,,,,,
AlertType,AlertDesc,,,,,
Allergen,AllergenConceptID,,,,,
Allergen,AllergenTypeID,,,,,
Allergen,ShortName,,,,,
Allergen,Enabled,,,,,
AllergenCodingSystem,CodingSystemID,,,,,
AllergenCodingSystem,AllergenConceptID,,,,,
AllergenCodingSystem,CodeID,,,,,
AllergenSyn,AllergenSynID,,,,,
AllergenSyn,AllergenConceptID,,,,,
AllergenSyn,AllergenSynDesc,,,,,
AllergenSyn,Enabled,,,,,
AllergenType,AllergenTypeID,,,,,
AllergenType,AllergenTypeDesc,,,,,
AllergyEd,AllergyEdID,,,,,
AllergyEd,AllergyEdDesc,,,,,
AllergyEd,AllergyEdTypeID,,,,,
AllergyEd,AllergenConceptID,,,,,
AllergyEd,AllergenSynID,,,,,
AllergyEd,BaselineFlag,,,,,
AllergyEd,CreateDate,,,,,
AllergyEd,UserID,,,,,
AllergyEdType,AllergyEdTypeID,,,,,
AllergyEdType,AllergyEdTypeDesc,,,,,
AllergyEdType,UserID,,,,,
AllergyEdType,CreateDate,,,,,
AllergyRxNormFact,mnid,,,,,
AllergyRxNormFact,descdisplay,,,,,
AllergyRxNormFact,RxNorm,,,,,
AllergyRxNormFact,RxNormDesc,,,,,
AllergySeverity,AllergySeverityID,,,,,
AllergySeverity,SeverityDescription,,,,,
AllergySeverity,IsEnabled,,,,,
AllergySeverity,DisplayOrder,,,,,
AllergySeverityCodingSystem,AllergySeverityID,,,,,
AllergySeverityCodingSystem,CodingSystemID,,,,,
AllergySeverityCodingSystem,CodeID,,,,,
AllergySnomedCodeFact,AgID,,,,,
AllergySnomedCodeFact,DrugClassDesc,,,,,
AllergySnomedCodeFact,SnomedCode,,,,,
AllergySnomedCodeFact,SnomedDesc,,,,,
AllergySnomedCodeValueSetLookUp,SnomedCode,,,,,
AllergySnomedCodeValueSetLookUp,SnomedDesc,,,,,
AllergyTest,AllergyTestID,,,,,
AllergyTest,AllergyTestDesc,,,,,
AllergyTest,AllergyTestTypeID,,,,,
AllergyTest,UserID,,,,,
AllergyTest,CreateDate,,,,,
AllergyTest,ActiveFlag,,,,,
AllergyTestBattery,AllergyTestBatteryID,,,,,
AllergyTestBattery,AllergyTestBatteryDesc,,,,,
AllergyTestBattery,UserID,,,,,
AllergyTestBattery,CreateDate,,,,,
AllergyTestDetail,AllergyTestID,,,,,
AllergyTestDetail,AllergenConceptID,,,,,
AllergyTestDetail,AllergenSynID,,,,,
AllergyTestDetail,AllergyTestBatteryID,,,,,
AllergyTestDetail,DisplayOrder,,,,,
AllergyTestDetail,UserID,,,,,
AllergyTestDetail,CreateDate,,,,,
AllergyTestLocation,AllergyTestLocationID,,,,,
AllergyTestLocation,AllergyTestLocationDesc,,,,,
AllergyTestResultType,AllergyTestResultTypeID,,,,,
AllergyTestResultType,AllergyTestResultTypeDesc,,,,,
AllergyTestType,AllergyTestTypeID,,,,,
AllergyTestType,AllergyTestTypeDesc,,,,,
AllocationTypes,Type,,,,,
AllocationTypes,Main,,,,,
AllocationTypes,Credit,,,,,
AllocationTypes,PaymentAdjustment,,,,,
AllocationTypes,PTCVoidIsolation,,,,,
AllocationTypes,Description,,,,,
AllocationTypes,BaseType,,,,,
AllocationTypes,CPSummary,,,,,
AllocationTypes,TransactionDetailcpString,,,,,
AllocationTypes,AdjustmentAnalysisINSString,,,,,
AllocationTypes,AdjustmentAnalysisSubType,,,,,
AllocationTypes,AccountDetailsDescription,,,,,
AllocationTypes,AccountDetailsOffsetDescription,,,,,
AmbulatoryClassification,AmbulatoryClassificationID,,,,,
AmbulatoryClassification,Name,,,,,
AmbulatoryClassification,Value,,,,,
Anesthesia,AnesthesiaID,,,,,
Anesthesia,AnesthesiaDescription,,,,,
AntigenBoard,AntigenBoardID,,,,,
AntigenBoard,AntigenBoardDesc,,,,,
AntigenBoardLotNum,AntigenBoardLotNumID,,,,,
AntigenBoardLotNum,AntigenLotNumID,,,,,
AntigenBoardLotNum,AntigenBoardID,,,,,
AntigenBoardLotNum,ActiveFlag,,,,,
AntigenBoardLotNum,CreateDate,,,,,
AntigenBoardLotNum,AllergenSynID,,,,,
AntigenLotNum,AntigenLotNumID,,,,,
AntigenLotNum,AllergenConceptID,,,,,
AntigenLotNum,LotNum,,,,,
AntigenLotNum,ExpirationDate,,,,,
AntigenLotNum,ActiveFlag,,,,,
AntigenLotNum,CreateDate,,,,,
ApplicationLog,LogID,,,,,
ApplicationLog,ApplicationName,,,,,
ApplicationLog,LogSource,,,,,
ApplicationLog,LevelID,,,,,
ApplicationLog,Message,,,,,
ApplicationLog,Exception,,,,,
ApplicationLog,StackTrace,,,,,
ApplicationLog,SiteID,,,,,
ApplicationLog,CreatedBy,,,,,
ApplicationLog,CreatedDateTime,,,,,
ApplicationLogLevel,LevelID,,,,,
ApplicationLogLevel,LevelName,,,,,
ArmCheckOffset,ArmCheckOffsetID,,,,,
ArmCheckOffset,ArmCheckOffsetValue,,,,,
ArmCheckOffset,UOMConceptID,,,,,
ArrivalModes,ArrivalModeID,,,,,
ArrivalModes,LocalName,,,,,
ArrivalModes,StandardName,,,,,
ArrivalModes,Description,,,,,
ArrivalModes,IsDefaultField,,,,,
ArrivalModes,Enabled,,,,,
ARSetting,GroupName,,,,,
ARSetting,KeyName,,,,,
ARSetting,Value,,,,,
ARSetting,CreateDate,,,,,
ARSetting,RevisionDate,,,,,
ASCX12_835_ClaimID,X12InterchangeID,,,,,
ASCX12_835_ClaimID,X12GroupID,,,,,
ASCX12_835_ClaimID,X12TransactionID,,,,,
ASCX12_835_ClaimID,X12H835ID,,,,,
ASCX12_835_ClaimID,X12D835ID,,,,,
ASCX12_835_ClaimID,X12DC835ID,,,,,
ASCX12_835_ClaimID,SubmitterControlNumber,,,,,
ASCX12_835_ClaimID,PatientID,,,,,
ASCX12_835_ClaimID,ClaimID,,,,,
ASCX12_835D_Adjustment,X12DA835ID,,,,,
ASCX12_835D_Adjustment,X12DC835ID,,,,,
ASCX12_835D_Adjustment,X12DS835ID,,,,,
ASCX12_835D_Adjustment,GroupCode,,,,,
ASCX12_835D_Adjustment,ReasonCode1,,,,,
ASCX12_835D_Adjustment,Amount1,,,,,
ASCX12_835D_Adjustment,Quantity1,,,,,
ASCX12_835D_Adjustment,ReasonCode2,,,,,
ASCX12_835D_Adjustment,Amount2,,,,,
ASCX12_835D_Adjustment,Quantity2,,,,,
ASCX12_835D_Adjustment,ReasonCode3,,,,,
ASCX12_835D_Adjustment,Amount3,,,,,
ASCX12_835D_Adjustment,Quantity3,,,,,
ASCX12_835D_Adjustment,ReasonCode4,,,,,
ASCX12_835D_Adjustment,Amount4,,,,,
ASCX12_835D_Adjustment,Quantity4,,,,,
ASCX12_835D_Adjustment,ReasonCode5,,,,,
ASCX12_835D_Adjustment,Amount5,,,,,
ASCX12_835D_Adjustment,Quantity5,,,,,
ASCX12_835D_Adjustment,ReasonCode6,,,,,
ASCX12_835D_Adjustment,Amount6,,,,,
ASCX12_835D_Adjustment,Quantity6,,,,,
ASCX12_835D_Claim,X12DC835ID,,,,,
ASCX12_835D_Claim,X12D835ID,,,,,
ASCX12_835D_Claim,SubmitterControlNumber,,,,,
ASCX12_835D_Claim,ClaimStatusCode,,,,,
ASCX12_835D_Claim,ClaimCharge,,,,,
ASCX12_835D_Claim,ClaimPayment,,,,,
ASCX12_835D_Claim,ClaimPatResp,,,,,
