TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
br_Account,PatientID,Yes,PATIENT_ID,,,
br_Account,AcctOpenDate,Yes,DATE_OFFSET,,,
br_Account,AcctActiveFlag,No,,,,
br_Account,LastInactivationDate,Yes,DATE_OFFSET,,,
br_Account,LastInactivationID,No,,,,
br_Account,LastInactivationReasonComment,Yes,NOTES,,,
br_Account,LastReactivationDate,Yes,DATE_OFFSET,,,
br_Account,LastReactivationID,No,,,,
br_Account,LastReactivationComment,Yes,NOTES,,,
br_Account,BalanceDate,Yes,DATE_OFFSET,,,
br_Account,TotalAccountBalance,Yes,MASK,TotalAccountBalance,,
br_Account,PatientLastPaymentDate,Yes,DATE_OFFSET,,,
br_Account,PatientLastPaymentAmount,Yes,MASK,PatientLastPaymentAmount,,
br_Account,PatientLastStatementDate,Yes,DATE_OFFSET,,,
br_Account,PatientLastStatementAmount,Yes,MASK,PatientLastStatementAmount,,
br_Account,YTDPatientAmountDue,Yes,MASK,YTDPatientAmountDue,,
br_Account,UnappliedCredit,Yes,MASK,UnappliedCredit,,
br_Account,ConvertedAcctID,No,,,,
br_Account,Note,Yes,NOTES,,,
br_Account,NoteDate,Yes,DATE_OFFSET,,,
br_Account,CurrUserID,No,,,,
br_Account,CurrDateTime,Yes,DATE_OFFSET,,,
br_Account,InsuranceLastStatementAmount,Yes,MASK,InsuranceLastStatementAmount,,
br_Account,CreditLastStatementAmount,Yes,MASK,CreditLastStatementAmount,,
br_Account,AccountBalanceCalcMethod,No,,,,
br_Account,ExcludeFinanceCharge,No,,,,
br_Account,ExcludeDunningMessages,No,,,,
br_ServiceDetail,ServiceDetailID,No,,,,
br_ServiceDetail,ChargeID,No,,,,
br_ServiceDetail,PatientID,Yes,PATIENT_ID,,,
br_ServiceDetail,VisitID,Yes,ENCOUNTER_ID,,,
br_ServiceDetail,ProcedureMasterID,No,,,,
br_ServiceDetail,CurrUserID,No,,,,
br_ServiceDetail,RevisionUserID,No,,,,
br_ServiceDetail,CareProviderID,No,,,,
br_ServiceDetail,LocationID,No,,,,
br_ServiceDetail,PracticeLocationID,No,,,,
br_ServiceDetail,RenderingProviderID,No,,,,
br_ServiceDetail,ReferringProvID,No,,,,
br_ServiceDetail,VoidServiceDetailID,No,,,,
br_ServiceDetail,AccidentStateID,No,,,,
br_ServiceDetail,AccidentTypeID,No,,,,
br_ServiceDetail,ClaimDetailNum,No,,,,
br_ServiceDetail,PostingDate,Yes,DATE_OFFSET,,,
br_ServiceDetail,Charge,Yes,MASK,Charge,,
br_ServiceDetail,NumberOfDaysOrUnits,No,,,,
