TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
Insurance,InsuranceID,No,,,,
Insurance,InsuranceName,No,,,,
Insurance,InsuranceShortName,No,,,,
Insurance,SuppressCHCCode,No,,,,
InsurancePlan,PlanID,No,,,,
InsurancePlan,InsuranceID,No,,,,
InsurancePlan,PlanNumber,Yes,MASK,PlanNumber,,
InsurancePlan,PlanName,Yes,MASK,PlanName,,
InsurancePlan,PlanProviderID,No,,,,
InsurancePlan,ContractID,No,,,,
InsurancePlan,Contact1,Yes,MASK,Contact1,,
InsurancePlan,Contact2,Yes,MASK,Contact2,,
InsurancePlan,AddressLine1,Yes,MASK,AddressLine1,,
InsurancePlan,AddressLine2,Yes,MASK,AddressLine2,,
InsurancePlan,City,Yes,MASK,City,,
InsurancePlan,State,No,,,,
InsurancePlan,PostalCode,Yes,ZIP_CODE,,,
InsurancePlan,PlanBillingPhoneNumber,Yes,MASK,PlanBillingPhoneNumber,,
InsurancePlan,PlanEligibilityPhoneNumber,Yes,MASK,PlanEligibilityPhoneNumber,,
InsurancePlan,PlanAuthorizationPhoneNumber,Yes,MASK,PlanAuthorizationPhoneNumber,,
InsurancePlan,PlanEmailAddress,Yes,MASK,PlanEmailAddress,,
InsurancePlan,PlanInternetAddress,Yes,MASK,PlanInternetAddress,,
InsurancePlan,InsurancePlanClassID,No,,,,
InsurancePlan,FilingFormatID,No,,,,
InsurancePlan,Comments,Yes,GENERIC_NOTES,,,
InsurancePlan,RxCarrierNumber,No,,,,
InsurancePlan,RxGroupNumber,No,,,,
InsurancePlan,RoomRate,Yes,MASK,RoomRate,,
InsurancePlan,MedigapSupplementalCoverage,No,,,,
InsurancePlan,RHCFlag,No,,,,
InsurancePlan,DaysBeforeFollowUp,No,,,,
InsurancePlan,WriteOffWhenChargePosted,No,,,,
InsurancePlan,InsuranceTypeID,No,,,,
InsurancePlan,PPOHMOIndicatorID,No,,,,
InsurancePlan,PrintPlanLocInfo,No,,,,
InsurancePlan,InsBrandRxCoPay,No,,,,
InsurancePlan,InsGenRxCoPay,No,,,,
InsurancePlan,InsERVisitCoPay,No,,,,
InsurancePlan,InsDocVisitCoPay,No,,,,
InsurancePlan,InsPsychCoPay,No,,,,
InsurancePlan,InsDeductible,No,,,,
InsurancePlan,InsPlanPercentResp,No,,,,
InsurancePlan,CustomizedProcedures,No,,,,
InsurancePlan,AcceptsAssignment,No,,,,
InsurancePlan,EffectiveFrom,Yes,STATIC_OFFSET,,,
InsurancePlan,EffectiveTo,Yes,STATIC_OFFSET,,,
InsurancePlan,CurrUserID,No,,,,
InsurancePlan,CurrDateTime,Yes,STATIC_OFFSET,,,
InsurancePlan,ExcludeFromStatementGeneration,No,,,,
InsurancePlan,MedigapNumber,Yes,MASK,MedigapNumber,,
InsurancePlan,PlanFaxNumber,Yes,MASK,PlanFaxNumber,,
InsurancePlan,CourtesyFiling,No,,,,
InsurancePlan,ReferralRequired,No,,,,
InsurancePlan,ExcludeAutoClaim,No,,,,
InsurancePlan,IgnoreBenefits,No,,,,
InsurancePlan,AllowedCalculationMethod,No,,,,
InsurancePlan,SSNPrefill,No,,,,
InsurancePlan,PaperFilingPlanID,No,,,,
InsurancePlan,ReferringProviderTypeID,No,,,,
InsurancePlan,TimelyFilingDays,No,,,,
InsurancePlan,DMERCPlan,No,,,,
InsurancePlan,DMERCFilingPlan,No,,,,
InsurancePlan,ESecondaryFilingFlag,No,,,,
InsurancePlan,ClaimPayorID,Yes,MASK,ClaimPayorID,,
InsurancePlan,ElectronicTOSFlag,No,,,,
InsurancePlan,EligibilityURL,Yes,MASK,EligibilityURL,,
InsurancePlan,EligibilityURLSource,No,,,,
InsurancePlan,NonPrimaryPaperFilingPlanID,No,,,,
InsurancePlan,CompCrossOver,No,,,,
InsurancePlan,COBANumber,No,,,,
InsurancePlan,UsePerfRefRule,No,,,,
InsurancePlan,LegacyInsCode,No,,,,
InsurancePlan,NPIFLag,No,,,,
InsurancePlan,PayerSecondaryIDType,No,,,,
InsurancePlan,EligibilityFilingPlanID,No,,,,
InsurancePlan,EligibilityIdentificationType,No,,,,
InsurancePlan,EligibilityIdentificationNumber,Yes,MASK,EligibilityIdentificationNumber,,
InsurancePlan,IgnoreEligibilityDays,No,,,,
InsurancePlan,UseGrpTaxonomyFlag,No,,,,
InsurancePlan,UseServiceRenderingFlag,No,,,,
InsurancePlan,SuppressTaxID,No,,,,
InsurancePlan,UseUBCodes,No,,,,
InsurancePlan,UBRollupType,No,,,,
InsurancePlan,UBPaperRollupType,No,,,,
InsurancePlan,SuppressCN1Segment,No,,,,
InsurancePlan,ClaimLevelPaymentInfo,No,,,,
InsurancePlan,UBAddressLine1,Yes,MASK,UBAddressLine1,,
InsurancePlan,UBAddressLine2,Yes,MASK,UBAddressLine2,,
InsurancePlan,UBCity,Yes,MASK,UBCity,,
InsurancePlan,UBState,No,,,,
InsurancePlan,UBPostalCode,Yes,ZIP_CODE,,,
InsurancePlan,UBBillingPhone,Yes,MASK,UBBillingPhone,,
InsurancePlan,UBSecondaryPayerIDType,No,,,,
InsurancePlan,UBSecondaryPayerID,Yes,MASK,UBSecondaryPayerID,,
InsurancePlan,PlanContractQualifier,No,,,,
InsurancePlan,PlanContractCode,No,,,,
InsurancePlan,PolicyNumberValidationRequired,No,,,,
InsurancePlan,ERAProfileID,No,,,,
InsurancePlan,PRCID,No,,,,
InsurancePlan,LabAccountTypeID,No,,,,
InsurancePlan,DefaultLabAccountID,No,,,,
InsurancePlan,QualityReportingID,No,,,,
InsurancePlan,PrimaryContractQualifier,No,,,,
InsurancePlan,PrimaryContractCode,No,,,,
InsurancePlan,InsuranceTypologyID,No,,,,
InsurancePlan,DiagnosisCodingSystemID,No,,,,
InsurancePlan,DiagnosisCodeEffectiveDate,Yes,STATIC_OFFSET,,,
InsurancePlan,IncludeUnmappedDiagsOnClaim,No,,,,
InsurancePlan,NAIC,No,,,,
InsurancePlan,EMMethodologyID,No,,,,
InsurancePlanClass,InsurancePlanClassID,No,,,,
InsurancePlanClass,InsurancePlanClassShortDesc,No,,,,
InsurancePlanClass,InsurancePlanClassDesc,No,,,,
InsurancePlanClass,CurrUserID,No,,,,
InsurancePlanClass,CurrDateTime,Yes,STATIC_OFFSET,,,
InsuranceProviders,InsuranceProviderID,No,,,,
InsuranceProviders,ProviderName,Yes,MASK,ProviderName,,
InsuranceProviders,ElectronicPayerIDNumber,Yes,MASK,ElectronicPayerIDNumber,,
InsuranceProviders,ElectronicPayerPrefix,No,,,,
InsuranceProviders,ProviderIDSuffixIndicator,No,,,,
InsuranceProviders,ElectronicTOSFlag,No,,,,
InsuranceProviders,ClaimPayorID,Yes,MASK,ClaimPayorID,,
InsuranceProviders,EligibilityURL,Yes,MASK,EligibilityURL,,
InsuranceProviders,EligibilityURLSource,No,,,,
InsuranceProviders,InsuranceID,No,,,,
InsuranceProviders,InsuranceClassID,No,,,,
InsuranceProviders,FilingFormatID,No,,,,
InsuranceProviders,InsuranceTypeID,No,,,,
InsuranceProviders,CourtesyFiling,No,,,,
InsuranceProviders,ReferralRequired,No,,,,
InsuranceProviders,ExcludeAutoClaim,No,,,,
InsuranceProviders,PaperFilingPlanID,No,,,,
InsuranceProviders,NonPrimaryPaperFilingPlanID,No,,,,
InsuranceProviders,ESecondaryFilingFlag,No,,,,
InsuranceProviders,UsePerfRefRule,No,,,,
InsuranceProviders,NPIFlag,No,,,,
InsuranceProviders,PayerSecondaryIDType,No,,,,
InsuranceProviders,EligibilityFilingPlanID,No,,,,
InsuranceProviders,EligibilityIdentificationType,No,,,,
InsuranceProviders,EligibilityIdentificationNumber,Yes,MASK,EligibilityIdentificationNumber,,
InsuranceProviders,IgnoreEligibilityDays,No,,,,
InsuranceProviders,EligibilityReceiverType,No,,,,
InsuranceProviders,EligibilityPracticeNPI,No,,,,
InsuranceProviders,EligibilityProviderFName,Yes,MASK,EligibilityProviderFName,,
InsuranceProviders,EligibilityProviderMName,Yes,MASK,EligibilityProviderMName,,
InsuranceProviders,EligibilityProviderLName,Yes,MASK,EligibilityProviderLName,,
InsuranceProviders,EligibilityProviderSuffix,No,,,,
InsuranceProviders,EligibilityProviderIDNumber,Yes,MASK,EligibilityIdentificationNumber,,
InsuranceProviders,EligibilityProviderIDIsNPI,No,,,,
InsuranceProviders,UseGrpTaxonomyFlag,No,,,,
InsuranceProviders,UBClaimPayorID,Yes,MASK,EligibilityIdentificationNumber,,
InsuranceProviders,EligibilitySecondaryIDNumber,Yes,MASK,EligibilityIdentificationNumber,,
InsuranceProviders,EligibilitySecondaryIDType,No,,,,
InsuranceProviders,ERAProfileID,No,,,,
InsuranceProviders,ContractID,No,,,,
InsuranceProviders,LabAccountTypeID,No,,,,
InsuranceProviders,QualityReportingID,No,,,,
InsuranceProviders,DefaultEligibilityServiceType,No,,,,
InsuranceProviders,TimelyFilingDays,No,,,,
InsuranceProviders,InsPlanPercentResp,No,,,,
InsuranceProviders,DaysBeforeFollowUp,No,,,,
InsuranceProviders,DiagnosisCodingSystemID,No,,,,
InsuranceProviders,DiagnosisCodeEffectiveDate,Yes,STATIC_OFFSET,,,
InsuranceProviders,IncludeUnmappedDiagsOnClaim,No,,,,
InsuranceProviders,NAIC,No,,,,
InsuranceProviders,CarrierCode,No,,,,
InsuranceProviders,SendPrimaryCarrierCode,No,,,,
Notes,NoteID,No,,,,
Notes,PatientID,Yes,PATIENT_ID,,,
Notes,ModuleID,No,,,,
Notes,UserID,No,,,,
Notes,OtherID,Yes,MASK,OtherID,,
Notes,CreateDate,Yes,DATE_OFFSET,,,
Notes,LastModifiedDate,Yes,DATE_OFFSET,,,
Notes,Text,Yes,NOTES,,,
Notes,Printable,No,,,,
Notes,NoteTypeID,No,,,,
Notes,NoteSubType,No,,,,
NoteType,NoteTypeID,No,,,,
NoteType,NoteType,No,,,,
OrdReqOrder,OrderID,No,,,,
OrdReqOrder,DocumentID,No,,,,
OrdReqOrder,Enabled,No,,,,
OrdReqOrder,OrdReqOrderStatusID,No,,,,
OrdReqOrder,Unit,No,,,,
OrdReqOrder,UserID,No,,,,
OrdReqOrder,CreateDate,Yes,DATE_OFFSET,,,
OrdReqOrder,ProcedureGUID,No,,,,
OrdReqOrder,InterfaceProviderRoleID,No,,,,
OrdReqOrder,InterfaceProviderOrderCode,No,,,,
OrdReqOrder,OrdReqOrderDescription,Yes,NOTES,,,
OrdReqOrder,OrdReqTransactionID,No,,,,
OrdReqOrder,LastChangedDate,Yes,DATE_OFFSET,,,
OrdReqOrder,LastChangedBy,No,,,,
OrdReqOrder,DataSourceId,No,,,,
OrdReqOrder,Comment,Yes,NOTES,,,
OrdReqOrder,ModalityCode,No,,,,
OrdReqOrder,PriorityCode,No,,,,
OrdReqOrder,ABNOrderStatusID,No,,,,
OrdReqOrder,ABNDocumentID,No,,,,
OrdReqOrder,ABNRequiredReasonID,No,,,,
OrdReqOrder,LabAccountBillingMethodID,No,,,,
OrdReqOrderOrdReqDiagnosis,OrderID,No,,,,
OrdReqOrderOrdReqDiagnosis,OrdReqDiagnosisID,No,,,,
OrdReqOrderOrdReqDiagnosis,DxOrder,No,,,,
PatMedRecon,PatientID,Yes,PATIENT_ID,,,
PatMedRecon,MedReconDate,Yes,DATE_OFFSET,,,
PatMedRecon,TransitionOfCareDate,Yes,DATE_OFFSET,,,
PatMedRecon,VisitID,Yes,ENCOUNTER_ID,,,
PatMedRecon,UserID,No,,,,
PatMedRecon,PatMedReconID,No,,,,
PatMedRecon,ProbReconDate,Yes,DATE_OFFSET,,,
PatMedRecon,AllergyReconDate,Yes,DATE_OFFSET,,,
PatMedRecon,CCDAReconDate,Yes,DATE_OFFSET,,,
PatMedRecon,DocumentID,No,,,,
PatMedRecon,SnomedCode,No,,,,
