TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
AADConfiguration,ConfigId,No,,,,
AADConfiguration,ConfigProperty,No,,,,
AADConfiguration,AADKey,No,,,,
AADConfiguration,AADValue,No,,,,
AADConfiguration,Created,Yes,STATIC_OFFSET,,,
AADConfiguration,CreatedBy,No,,,,
AADConfiguration,LastModified,Yes,STATIC_OFFSET,,,
AADConfiguration,LastModifiedBy,No,,,,
ALLERGY,PID,Yes,PATIENT_ID_PID,,PID,
ALLERGY,XID,No,,,,
ALLERGY,AID,No,,,,
ALLERGY,CHANGE,No,,,,
ALLERGY,SDID,No,,,,
ALLERGY,USRID,No,,,,
ALLERGY,NAME,No,,,,
ALLERGY,RASH,No,,,,
ALLERGY,SHOCK,No,,,,
ALLERGY,RESP,No,,,,
ALLERGY,GI,No,,,,
ALLERGY,HEME,No,,,,
ALLERGY,OTHER,No,,,,
ALLERGY,DESCRIPTION,Yes,NOTES,,,
ALLERGY,ONSETDATE,Yes,DATE_OFFSET,,,
ALLERGY,STOPDATE,Yes,DATE_OFFSET,,,
ALLERGY,STOPREASON,No,,,,
ALLERGY,KIND,No,,,,
ALLERGY,SEVERITY,No,,,,
ALLERGY,NDCLABPROD,No,,,,
ALLERGY,NDCPACKAGE,No,,,,
ALLERGY,GPI,No,,,,
ALLERGY,PUBUSER,No,,,,
ALLERGY,PUBTIME,Yes,MASK,PubTime,,
ALLERGY,ANNOTATE,Yes,NOTES,,,
ALLERGY,USERSORT,No,,,,
ALLERGY,USERINDENT,No,,,,
ALLERGY,PENDUSERSORT,No,,,,
ALLERGY,PENDUSERINDENT,No,,,,
ALLERGY,DDID,No,,,,
ALLERGY,KDC,No,,,,
ALLERGY,APROXONSETDATE,No,,,,
ALLERGY,DB_CREATE_DATE,Yes,DATE_OFFSET,,,
ALLERGY,DB_UPDATED_DATE,Yes,DATE_OFFSET,,,
ALLERGY,ISCRITICAL,No,,,,
ALLERGY,ALLCLASS,No,,,,
ALLERGY,SNOMED,No,,,,
ALLERGY,DTS_EXPORT_DATE,Yes,DATE_OFFSET,,,
ALLERGY,EXTALLERGYID,No,,,,
