TABLE_NAME,COLUMN_NAME,IS_PHI,DE_IDENTIFICATION_RULE,MASK_VALUE,REFERENCE_PATIENT_ID,REFERENCE_ENCOUNTER_ID
CasesInsurance,CasesInsuranceId,No,,,PatientProfileId,PatientVisitId
CasesInsurance,CasesId,No,,,PatientProfileId,PatientVisitId
CasesInsurance,PatientProfileId,Yes,PATIENT_ID,PATIENT_ID,PatientProfileId,PatientVisitId
CasesInsurance,OrderForClaims,No,,,PatientProfileId,PatientVisitId
CasesInsurance,Inactive,No,,,PatientProfileId,PatientVisitId
CasesInsurance,PatientInsuranceId,Yes,MASK,PatientInsuranceId,PatientProfileId,PatientVisitId
CasesInsurance,InsuranceCarriersId,Yes,MASK,InsuranceCarriersId,PatientProfileId,PatientVisitId
CasesInsurance,Number,Yes,MASK,InsuranceNumber,PatientProfileId,PatientVisitId
CasesInsurance,IssuedDate,Yes,DATE_OFFSET,DATE_OFFSET,PatientProfileId,PatientVisitId
CasesInsurance,AuthExpdDate,Yes,DATE_OFFSET,DATE_OFFSET,PatientProfileId,PatientVisitId
CasesInsurance,Type,No,,,PatientProfileId,PatientVisitId
CasesInsurance,Created,Yes,DATE_OFFSET,,PatientProfileId,PatientVisitId
CasesInsurance,CreatedBy,No,,,PatientProfileId,PatientVisitId
CasesInsurance,LastModified,Yes,DATE_OFFSET,,PatientProfileId,PatientVisitId
CasesInsurance,LastModifiedBy,No,,,PatientProfileId,PatientVisitId
CasesInsurance,ReferralNumber,No,,,PatientProfileId,PatientVisitId
CasesInsurance,ReferralIssuedDate,Yes,DATE_OFFSET,DATE_OFFSET,PatientProfileId,PatientVisitId
CasesInsurance,ReferralExpdDate,Yes,DATE_OFFSET,DATE_OFFSET,PatientProfileId,PatientVisitId
cusMedfusionMember,MemberId,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,Created,Yes,DATE_OFFSET,,PatientProfileId,PatientVisitId
cusMedfusionMember,PatientProfileId,Yes,PATIENT_ID,,PatientProfileId,PatientVisitId
cusMedfusionMember,OriginallyLinked,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,ExternalIdNeedsSet,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,LastUpdated,Yes,DATE_OFFSET,,PatientProfileId,PatientVisitId
cusMedfusionMember,MapUpdatePending,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,MemberUnlocked,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,OldEIdS,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,OrphanedPatientProfileIds,Yes,PATIENT_ID,,PatientProfileId,PatientVisitId
cusMedfusionMember,ExternalIdNeedsSetFailed,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,ExternalIdNeedsSetFailedAttempts,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,ExternalIdNeedsSetFailedMessage,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,LocationId,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,MemberCreateDate,Yes,DATE_OFFSET,,PatientProfileId,PatientVisitId
cusMedfusionMember,ExternalIdSendDate,No,,,PatientProfileId,PatientVisitId
cusMedfusionMember,staff,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,PatientMedicationId,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,PatientProfileId,Yes,PATIENT_ID,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,Name,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,Dosage,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,DosageUnit,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,Frequency,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,Inactive,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,EMRMID,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,EMRPID,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,MedfusionMedicationId,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,LastUpdated,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,NeedsSentFlag,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,NeedsSentFailed,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,NeedsSentFailedAttempts,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,NeedsSentFailedMessage,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientMedications,processedTime,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,pregId,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,patientProfileId,Yes,PATIENT_ID,,patientProfileId,PatientVisitId
cusMedfusionPatientRegistration,status,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,registrationType,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,geStaffId,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,entryTime,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,processedTime,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,retryCount,No,,,PatientProfileId,PatientVisitId
cusMedfusionPatientRegistration,retryReason,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,PaymentId,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,paymentrefid,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,PaymentDate,Yes,DATE_OFFSET,,PatientProfileId,PatientVisitId
cusMedfusionPayment,TransactionNumber,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,MemberId,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,PatientProfileId,Yes,PATIENT_ID,,PatientProfileId,PatientVisitId
cusMedfusionPayment,status,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,Comment,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,paymentType,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,Amount,Yes,MASK,Amount,PatientProfileId,PatientVisitId
cusMedfusionPayment,ProcessingFees,Yes,MASK,Amount,PatientProfileId,PatientVisitId
cusMedfusionPayment,AccountNumber,No,,,PatientProfileId,PatientVisitId
cusMedfusionPayment,firstname,Yes,MASK,PATIENT_NAME,PatientProfileId,PatientVisitId
cusMedfusionPayment,lastname,Yes,MASK,PATIENT_NAME,PatientProfileId,PatientVisitId
cusMedfusionPayment,dateofbirth,Yes,PATIENT_DOB,,PatientProfileId,PatientVisitId
cusMedfusionPayment,cardholder,Yes,MASK,card holder name,PatientProfileId,PatientVisitId
cusMedfusionPayment,cardzip,Yes,MASK,CardZip,PatientProfileId,PatientVisitId
cusMedfusionPayment,location,Yes,MASK,location,PatientProfileId,PatientVisitId
